bloco,question,year,answer,percentage
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2015,Preocupar-se com a criação dos filhos,34
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2015,Não existir punição,30
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2015,Ter vergonha da agressão,30
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2015,Acreditar que seria a última vez,21
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2015,Outros,2
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2015,Não conhecer seus direitos,19
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2017,Ter medo do agressor,71
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2017,Preocupar-se com a criação dos filhos,32
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2017,Depender financeiramente do agressor,29
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2017,Não existir punição,25
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2017,Ter vergonha da agressão,20
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2017,Acreditar que seria a última vez,17
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2017,Não conhecer seus direitos,15
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2017,Outros,2
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2019,Ter medo do agressor,68
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2019,Depender financeiramente do agressor,27
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2019,Preocupar-se com a criação dos filhos,25
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2019,Não existir punição,22
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2019,Ter vergonha da agressão,17
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2019,Acreditar que seria a última vez,16
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2019,Não conhecer seus direitos,13
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2019,Outros,4
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2021,Ter medo do agressor,76
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2021,Depender financeiramente do agressor,46
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2021,Preocupar-se com a criação dos filhos,44
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2021,Não existir punição,37
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2021,Acreditar que seria a última vez,36
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2021,Ter vergonha da agressão,35
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2021,Não conhecer seus direitos,29
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2021,Outros,1
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2011,Na rua,38
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2011,Na família,36
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2011,No trabalho,21
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2011,Outros,1
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2011,NS/NR,4
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2013,Na rua,45
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2013,Na família,31
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2013,No trabalho,22
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2013,Outros,1
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2013,NS/NR,2
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2015,Na rua,57
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2015,Na família,23
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2015,No trabalho,18
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2015,Outros,1
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2015,NS/NR,1
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2017,Na rua,54
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2017,Na família,27
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2017,No trabalho,16
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2017,NS/NR,4
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2019,Na rua,48
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2019,Na família,31
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2019,No trabalho,16
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2019,Outros,2
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2019,Não são desrespeitadas,1
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2019,NS/NR,3
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2021,Na rua,47
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2021,Na família,29
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2021,No trabalho,17
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2021,NS/NR,3
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2021,Não são desrespeitadas,2
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2021,Outros,2
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2023,Na rua,52
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2023,No trabalho,25
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2023,Na família,17
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2023,Não são desrespeitadas,1
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2023,Outros,2
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2023,NS/NR,3
Percepção geral sobre violência contra as mulheres,"Nos últimos seis meses, você tem ouvido falar mais sobre violência doméstica e familiar contra as mulheres?",2017,Sim,89
Percepção geral sobre violência contra as mulheres,"Nos últimos seis meses, você tem ouvido falar mais sobre violência doméstica e familiar contra as mulheres?",2017,Não,11
Percepção geral sobre violência contra as mulheres,"Nos últimos seis meses, você tem ouvido falar mais sobre violência doméstica e familiar contra as mulheres?",2017,NS/NR,0
Percepção geral sobre violência contra as mulheres,"E você acha que a violência doméstica e familiar contra as mulheres aumentou, porque:",2017,a quantidade de mulheres agredidas aumentou?,92
Percepção geral sobre violência contra as mulheres,"E você acha que a violência doméstica e familiar contra as mulheres aumentou, porque:",2017,a gravidade das lesões em mulheres agredidas aumentou?,90
Percepção geral sobre violência contra as mulheres,"E você acha que a violência doméstica e familiar contra as mulheres aumentou, porque:",2017,a gravidade das lesões em mulheres agredidas aumentou?,9
Percepção geral sobre violência contra as mulheres,"E você acha que a violência doméstica e familiar contra as mulheres aumentou, porque:",2017,a quantidade de mulheres agredidas aumentou?,7
Percepção geral sobre violência contra as mulheres,"E você acha que a violência doméstica e familiar contra as mulheres aumentou, porque:",2017,a quantidade de mulheres agredidas aumentou?,1
Percepção geral sobre violência contra as mulheres,"E você acha que a violência doméstica e familiar contra as mulheres aumentou, porque:",2017,a gravidade das lesões em mulheres agredidas aumentou?,1
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,A falta de punição,61
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,A falta de punição,22
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,A falta de punição,9
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,A falta de punição,6
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,A falta de punição,2
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,Depender financeiramente do agressor,61
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,Depender financeiramente do agressor,23
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,Depender financeiramente do agressor,8
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,Depender financeiramente do agressor,7
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,Depender financeiramente do agressor,2
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,Não conhecer seus direitos,48
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,Não conhecer seus direitos,27
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,Não conhecer seus direitos,14
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,Não conhecer seus direitos,9
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,Não conhecer seus direitos,2
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,Ter medo do agressor,73
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,Ter medo do agressor,15
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,Ter medo do agressor,5
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,Ter medo do agressor,6
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,Ter medo do agressor,1
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,Preocupar-se com a criação dos filhos,60
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,Preocupar-se com a criação dos filhos,23
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,Preocupar-se com a criação dos filhos,9
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,Preocupar-se com a criação dos filhos,7
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,Preocupar-se com a criação dos filhos,2
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,Ter vergonha da agressão,56
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,Ter vergonha da agressão,26
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,Ter vergonha da agressão,10
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,Ter vergonha da agressão,6
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,Ter vergonha da agressão,1
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,Acreditar que seria a última vez,58
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,Acreditar que seria a última vez,23
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,Acreditar que seria a última vez,11
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,Acreditar que seria a última vez,7
Percepção geral sobre violência contra as mulheres,Com que frequência as situações abaixo levam uma mulher a não denunciar a agressão?,2023,Acreditar que seria a última vez,2
Conhecimento e eficácia das leis (reconhecimento de ações/leis),As leis brasileiras protegem as mulheres contra abusos e violências domésticas?,2005,Sim,26
Conhecimento e eficácia das leis (reconhecimento de ações/leis),As leis brasileiras protegem as mulheres contra abusos e violências domésticas?,2005,Em parte,28
Conhecimento e eficácia das leis (reconhecimento de ações/leis),As leis brasileiras protegem as mulheres contra abusos e violências domésticas?,2005,Não,45
Conhecimento e eficácia das leis (reconhecimento de ações/leis),As leis brasileiras protegem as mulheres contra abusos e violências domésticas?,2005,NS/NR,1
Conhecimento e eficácia das leis (reconhecimento de ações/leis),As leis brasileiras protegem as mulheres contra abusos e violências domésticas?,2007,Sim,13
Conhecimento e eficácia das leis (reconhecimento de ações/leis),As leis brasileiras protegem as mulheres contra abusos e violências domésticas?,2007,Em parte,41
Conhecimento e eficácia das leis (reconhecimento de ações/leis),As leis brasileiras protegem as mulheres contra abusos e violências domésticas?,2007,Não,45
Conhecimento e eficácia das leis (reconhecimento de ações/leis),As leis brasileiras protegem as mulheres contra abusos e violências domésticas?,2007,NS/NR,1
Conhecimento e eficácia das leis (reconhecimento de ações/leis),As leis brasileiras protegem as mulheres contra abusos e violências domésticas?,2009,Sim,18
Conhecimento e eficácia das leis (reconhecimento de ações/leis),As leis brasileiras protegem as mulheres contra abusos e violências domésticas?,2009,Em parte,48
Conhecimento e eficácia das leis (reconhecimento de ações/leis),As leis brasileiras protegem as mulheres contra abusos e violências domésticas?,2009,Não,33
