bloco,question,year,answer,percentage,category_translated,question_translated,answer_translated,total_answers
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2015,Não,43,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",No,473
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2015,NS/NR,0,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",NS/NR,0
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2017,Sim,4,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Yes,44
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2017,Às vezes,44,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Sometimes,491
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2017,Não,51,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",No,569
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2017,NS/NR,1,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",NS/NR,11
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2019,Sim,4,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Yes,96
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2019,Às vezes,39,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Sometimes,936
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2019,Não,56,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",No,1344
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2019,NS/NR,1,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",NS/NR,24
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2021,Sim,4,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Yes,120
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2021,Às vezes,42,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Sometimes,1260
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2021,Não,54,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",No,1620
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2021,NS/NR,1,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",NS/NR,30
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2023,Sim,7,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Yes,1525
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2023,Às vezes,46,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Sometimes,10022
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2023,Não,46,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",No,10022
Percepção geral sobre violência contra as mulheres,"De forma geral, você acha que as mulheres são tratadas com respeito no Brasil?",2023,NS/NR,1,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",NS/NR,217
Percepção geral sobre violência contra as mulheres,A senhora acha que o tratamento recebido é igual ao do homem?,2005,Sim,6,General perception of violence against women,Do you think the treatment received is the same as that of man?,Yes,48
Percepção geral sobre violência contra as mulheres,A senhora acha que o tratamento recebido é igual ao do homem?,2005,As vezes,12,General perception of violence against women,Do you think the treatment received is the same as that of man?,Sometimes,97
Percepção geral sobre violência contra as mulheres,A senhora acha que o tratamento recebido é igual ao do homem?,2005,Não,81,General perception of violence against women,Do you think the treatment received is the same as that of man?,No,660
Percepção geral sobre violência contra as mulheres,A senhora acha que o tratamento recebido é igual ao do homem?,2005,NS/NR,1,General perception of violence against women,Do you think the treatment received is the same as that of man?,NS/NR,8
Percepção geral sobre violência contra as mulheres,"Em qual grupo social a mulher é mais respeitada, na sua opinião?",2005,Na família,53,General perception of violence against women,"In which social group is the woman most respected, in your opinion?",In the family,431
Percepção geral sobre violência contra as mulheres,"Em qual grupo social a mulher é mais respeitada, na sua opinião?",2005,Na Justiça,15,General perception of violence against women,"In which social group is the woman most respected, in your opinion?",In court,122
Percepção geral sobre violência contra as mulheres,"Em qual grupo social a mulher é mais respeitada, na sua opinião?",2005,No trabalho,15,General perception of violence against women,"In which social group is the woman most respected, in your opinion?",At work,122
Percepção geral sobre violência contra as mulheres,"Em qual grupo social a mulher é mais respeitada, na sua opinião?",2005,Nas instituições públicas,8,General perception of violence against women,"In which social group is the woman most respected, in your opinion?",In public institutions,65
Percepção geral sobre violência contra as mulheres,"Em qual grupo social a mulher é mais respeitada, na sua opinião?",2005,Na solicitação de serviços,3,General perception of violence against women,"In which social group is the woman most respected, in your opinion?",In the request for services,24
Percepção geral sobre violência contra as mulheres,"Em qual grupo social a mulher é mais respeitada, na sua opinião?",2005,NS/NR,6,General perception of violence against women,"In which social group is the woman most respected, in your opinion?",NS/NR,48
Percepção geral sobre violência contra as mulheres,"Em qual dos ambientes a seguir, você acha que a mulher é mais desrespeitada?",2005,No trabalho,24,General perception of violence against women,"Which of the following environments, do you think the woman is most disrespected?",At work,195
Percepção geral sobre violência contra as mulheres,"Em qual dos ambientes a seguir, você acha que a mulher é mais desrespeitada?",2005,Na família,23,General perception of violence against women,"Which of the following environments, do you think the woman is most disrespected?",In the family,187
Percepção geral sobre violência contra as mulheres,"Em qual dos ambientes a seguir, você acha que a mulher é mais desrespeitada?",2005,Outros ambientes,47,General perception of violence against women,"Which of the following environments, do you think the woman is most disrespected?",Other environments,383
Percepção geral sobre violência contra as mulheres,"Em qual dos ambientes a seguir, você acha que a mulher é mais desrespeitada?",2005,NS/NR,7,General perception of violence against women,"Which of the following environments, do you think the woman is most disrespected?",NS/NR,57
Percepção geral sobre violência contra as mulheres,"Em qual dos ambientes a seguir, você acha que a mulher é mais desrespeitada?",2007,Na sociedade,38,General perception of violence against women,"Which of the following environments, do you think the woman is most disrespected?",In society,302
Percepção geral sobre violência contra as mulheres,"Em qual dos ambientes a seguir, você acha que a mulher é mais desrespeitada?",2007,Na família,32,General perception of violence against women,"Which of the following environments, do you think the woman is most disrespected?",In the family,255
Percepção geral sobre violência contra as mulheres,"Em qual dos ambientes a seguir, você acha que a mulher é mais desrespeitada?",2007,No trabalho,17,General perception of violence against women,"Which of the following environments, do you think the woman is most disrespected?",At work,135
Percepção geral sobre violência contra as mulheres,"Em qual dos ambientes a seguir, você acha que a mulher é mais desrespeitada?",2007,Outros ambientes,12,General perception of violence against women,"Which of the following environments, do you think the woman is most disrespected?",Other environments,95
Percepção geral sobre violência contra as mulheres,"Em qual dos ambientes a seguir, você acha que a mulher é mais desrespeitada?",2007,NS/NR,1,General perception of violence against women,"Which of the following environments, do you think the woman is most disrespected?",NS/NR,7
Percepção geral sobre violência contra as mulheres,"Em qual dos ambientes a seguir, você acha que a mulher é mais desrespeitada?",2009,Na sociedade,34,General perception of violence against women,"Which of the following environments, do you think the woman is most disrespected?",In society,281
Percepção geral sobre violência contra as mulheres,"Em qual dos ambientes a seguir, você acha que a mulher é mais desrespeitada?",2009,Na família,34,General perception of violence against women,"Which of the following environments, do you think the woman is most disrespected?",In the family,281
Percepção geral sobre violência contra as mulheres,"Em qual dos ambientes a seguir, você acha que a mulher é mais desrespeitada?",2009,No trabalho,25,General perception of violence against women,"Which of the following environments, do you think the woman is most disrespected?",At work,206
Percepção geral sobre violência contra as mulheres,"Em qual dos ambientes a seguir, você acha que a mulher é mais desrespeitada?",2009,Outros ambientes,6,General perception of violence against women,"Which of the following environments, do you think the woman is most disrespected?",Other environments,49
Percepção geral sobre violência contra as mulheres,"Em qual dos ambientes a seguir, você acha que a mulher é mais desrespeitada?",2009,NS/NR,1,General perception of violence against women,"Which of the following environments, do you think the woman is most disrespected?",NS/NR,8
Percepção geral sobre violência contra as mulheres,"Dos tipos de violência doméstica, qual considera mais grave?",2005,Sexual,33,General perception of violence against women,"Of the types of domestic violence, which one considers the most serious?",Sexual,268
Percepção geral sobre violência contra as mulheres,"Dos tipos de violência doméstica, qual considera mais grave?",2005,Física,29,General perception of violence against women,"Of the types of domestic violence, which one considers the most serious?",Physical,236
Percepção geral sobre violência contra as mulheres,"Dos tipos de violência doméstica, qual considera mais grave?",2005,Moral,18,General perception of violence against women,"Of the types of domestic violence, which one considers the most serious?",Moral,146
Percepção geral sobre violência contra as mulheres,"Dos tipos de violência doméstica, qual considera mais grave?",2005,Psicológica,17,General perception of violence against women,"Of the types of domestic violence, which one considers the most serious?",Psychological,138
Percepção geral sobre violência contra as mulheres,"Dos tipos de violência doméstica, qual considera mais grave?",2005,Patrimonial,1,General perception of violence against women,"Of the types of domestic violence, which one considers the most serious?",Patrimonial,8
Percepção geral sobre violência contra as mulheres,"Dos tipos de violência doméstica, qual considera mais grave?",2005,NS/NR,2,General perception of violence against women,"Of the types of domestic violence, which one considers the most serious?",NS/NR,16
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2009,Aumentou,60,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",Increased,496
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2009,Permaneceu igual,25,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",Remained the same,206
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2009,Diminuiu,14,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",Decreased,115
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2009,NS/NR,1,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",NS/NR,8
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2011,Aumentou,66,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",Increased,892
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2011,Permaneceu igual,19,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",Remained the same,256
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2011,Diminuiu,14,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",Decreased,189
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2011,NS/NR,1,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",NS/NR,13
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2013,Aumentou,63,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",Increased,786
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2013,Permaneceu igual,21,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",Remained the same,262
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2013,Diminuiu,15,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",Decreased,187
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2013,NS/NR,1,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",NS/NR,12
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2015,Aumentou,63,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",Increased,694
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2015,Permaneceu igual,23,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",Remained the same,253
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2015,Diminuiu,13,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",Decreased,143
Percepção geral sobre violência contra as mulheres,"Para você, nos últimos anos, a violência doméstica e familiar contra a mulher:",2015,NS/NR,1,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",NS/NR,11
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2009,Ter medo do agressor,78,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Be afraid of the aggressor,645
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2009,Outros,16,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Others,132
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2009,Ter vergonha da agressão,9,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Be ashamed of aggression,74
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2009,Depender financeiramente do agressor,6,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Depending on financially on the aggressor,49
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2009,Não existir punição,2,General perception of violence against women,What does it lead a woman not to denounce the aggression?,No punishment,16
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2011,Ter medo do agressor,68,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Be afraid of the aggressor,919
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2011,Outros,3,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Others,40
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2011,Preocupar-se com a criação dos filhos,23,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Worry about raising children,310
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2011,Depender financeiramente do agressor,22,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Depending on financially on the aggressor,297
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2011,Não existir punição,18,General perception of violence against women,What does it lead a woman not to denounce the aggression?,No punishment,243
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2011,Ter vergonha da agressão,18,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Be ashamed of aggression,243
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2011,Não conhecer seus direitos,12,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Do not know your rights,162
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2011,Acreditar que seria a última vez,11,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Believe it would be the last time,148
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2013,Ter medo do agressor,74,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Be afraid of the aggressor,923
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2013,Depender financeiramente do agressor,34,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Depending on financially on the aggressor,424
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2013,Preocupar-se com a criação dos filhos,34,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Worry about raising children,424
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2013,Ter vergonha da agressão,26,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Be ashamed of aggression,324
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2013,Não existir punição,23,General perception of violence against women,What does it lead a woman not to denounce the aggression?,No punishment,287
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2013,Acreditar que seria a última vez,22,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Believe it would be the last time,274
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2013,Outros,2,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Others,24
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2013,Não conhecer seus direitos,19,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Do not know your rights,237
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2015,Ter medo do agressor,74,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Be afraid of the aggressor,815
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2015,Depender financeiramente do agressor,36,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Depending on financially on the aggressor,396
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2015,Preocupar-se com a criação dos filhos,34,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Worry about raising children,374
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2015,Não existir punição,30,General perception of violence against women,What does it lead a woman not to denounce the aggression?,No punishment,330
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2015,Ter vergonha da agressão,30,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Be ashamed of aggression,330
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2015,Acreditar que seria a última vez,21,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Believe it would be the last time,231
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2015,Outros,2,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Others,22
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2015,Não conhecer seus direitos,19,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Do not know your rights,209
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2017,Ter medo do agressor,71,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Be afraid of the aggressor,792
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2017,Preocupar-se com a criação dos filhos,32,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Worry about raising children,357
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2017,Depender financeiramente do agressor,29,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Depending on financially on the aggressor,323
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2017,Não existir punição,25,General perception of violence against women,What does it lead a woman not to denounce the aggression?,No punishment,279
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2017,Ter vergonha da agressão,20,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Be ashamed of aggression,223
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2017,Acreditar que seria a última vez,17,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Believe it would be the last time,189
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2017,Não conhecer seus direitos,15,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Do not know your rights,167
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2017,Outros,2,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Others,22
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2019,Ter medo do agressor,68,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Be afraid of the aggressor,1632
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2019,Depender financeiramente do agressor,27,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Depending on financially on the aggressor,648
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2019,Preocupar-se com a criação dos filhos,25,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Worry about raising children,600
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2019,Não existir punição,22,General perception of violence against women,What does it lead a woman not to denounce the aggression?,No punishment,528
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2019,Ter vergonha da agressão,17,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Be ashamed of aggression,408
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2019,Acreditar que seria a última vez,16,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Believe it would be the last time,384
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2019,Não conhecer seus direitos,13,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Do not know your rights,312
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2019,Outros,4,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Others,96
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2021,Ter medo do agressor,76,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Be afraid of the aggressor,2280
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2021,Depender financeiramente do agressor,46,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Depending on financially on the aggressor,1380
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2021,Preocupar-se com a criação dos filhos,44,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Worry about raising children,1320
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2021,Não existir punição,37,General perception of violence against women,What does it lead a woman not to denounce the aggression?,No punishment,1110
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2021,Acreditar que seria a última vez,36,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Believe it would be the last time,1080
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2021,Ter vergonha da agressão,35,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Be ashamed of aggression,1050
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2021,Não conhecer seus direitos,29,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Do not know your rights,869
Percepção geral sobre violência contra as mulheres,O que leva uma mulher a não denunciar a agressão?,2021,Outros,1,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Others,30
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2011,Na rua,38,General perception of violence against women,Where do you think women are less respected?,In the street,513
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2011,Na família,36,General perception of violence against women,Where do you think women are less respected?,In the family,486
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2011,No trabalho,21,General perception of violence against women,Where do you think women are less respected?,At work,283
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2011,Outros,1,General perception of violence against women,Where do you think women are less respected?,Others,13
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2011,NS/NR,4,General perception of violence against women,Where do you think women are less respected?,NS/NR,54
Percepção geral sobre violência contra as mulheres,Onde você acha que as mulheres são menos respeitadas?,2013,Na rua,45,General perception of violence against women,Where do you think women are less respected?,In the street,561
