year,category,question,answer,percentage,total_answers
2021,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Sometimes,42,1260
2021,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",No,54,1620
2021,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",NS/NR,1,30
2023,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Yes,7,1525
2023,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",Sometimes,46,10022
2023,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",No,46,10022
2023,General perception of violence against women,"In general, do you think women are treated with respect in Brazil?",NS/NR,1,217
2005,General perception of violence against women,Do you think the treatment received is the same as that of man?,Yes,6,48
2005,General perception of violence against women,Do you think the treatment received is the same as that of man?,Sometimes,12,97
2005,General perception of violence against women,Do you think the treatment received is the same as that of man?,No,81,660
2005,General perception of violence against women,Do you think the treatment received is the same as that of man?,NS/NR,1,8
2005,General perception of violence against women,"In which social group is the woman most respected, in your opinion?",In the family,53,431
2005,General perception of violence against women,"In which social group is the woman most respected, in your opinion?",In court,15,122
2005,General perception of violence against women,"In which social group is the woman most respected, in your opinion?",At work,15,122
2005,General perception of violence against women,"In which social group is the woman most respected, in your opinion?",In public institutions,8,65
2005,General perception of violence against women,"In which social group is the woman most respected, in your opinion?",In the request for services,3,24
2005,General perception of violence against women,"In which social group is the woman most respected, in your opinion?",NS/NR,6,48
2005,General perception of violence against women,"Which of the following environments, do you think the woman is most disrespected?",At work,24,195
2005,General perception of violence against women,"Which of the following environments, do you think the woman is most disrespected?",In the family,23,187
2005,General perception of violence against women,"Which of the following environments, do you think the woman is most disrespected?",Other environments,47,383
2005,General perception of violence against women,"Which of the following environments, do you think the woman is most disrespected?",NS/NR,7,57
2007,General perception of violence against women,"Which of the following environments, do you think the woman is most disrespected?",In society,38,302
2007,General perception of violence against women,"Which of the following environments, do you think the woman is most disrespected?",In the family,32,255
2007,General perception of violence against women,"Which of the following environments, do you think the woman is most disrespected?",At work,17,135
2007,General perception of violence against women,"Which of the following environments, do you think the woman is most disrespected?",Other environments,12,95
2007,General perception of violence against women,"Which of the following environments, do you think the woman is most disrespected?",NS/NR,1,7
2009,General perception of violence against women,"Which of the following environments, do you think the woman is most disrespected?",In society,34,281
2009,General perception of violence against women,"Which of the following environments, do you think the woman is most disrespected?",In the family,34,281
2009,General perception of violence against women,"Which of the following environments, do you think the woman is most disrespected?",At work,25,206
2009,General perception of violence against women,"Which of the following environments, do you think the woman is most disrespected?",Other environments,6,49
2009,General perception of violence against women,"Which of the following environments, do you think the woman is most disrespected?",NS/NR,1,8
2005,General perception of violence against women,"Of the types of domestic violence, which one considers the most serious?",Sexual,33,268
2005,General perception of violence against women,"Of the types of domestic violence, which one considers the most serious?",Physical,29,236
2005,General perception of violence against women,"Of the types of domestic violence, which one considers the most serious?",Moral,18,146
2005,General perception of violence against women,"Of the types of domestic violence, which one considers the most serious?",Psychological,17,138
2005,General perception of violence against women,"Of the types of domestic violence, which one considers the most serious?",Patrimonial,1,8
2005,General perception of violence against women,"Of the types of domestic violence, which one considers the most serious?",NS/NR,2,16
2009,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",Increased,60,496
2009,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",Remained the same,25,206
2009,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",Decreased,14,115
2009,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",NS/NR,1,8
2011,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",Increased,66,892
2011,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",Remained the same,19,256
2011,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",Decreased,14,189
2011,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",NS/NR,1,13
2013,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",Increased,63,786
2013,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",Remained the same,21,262
2013,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",Decreased,15,187
2013,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",NS/NR,1,12
2015,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",Increased,63,694
2015,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",Remained the same,23,253
2015,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",Decreased,13,143
2015,General perception of violence against women,"For you, in recent years, domestic and family violence against women:",NS/NR,1,11
2009,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Be afraid of the aggressor,78,645
2009,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Others,16,132
2009,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Be ashamed of aggression,9,74
2009,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Depending on financially on the aggressor,6,49
2009,General perception of violence against women,What does it lead a woman not to denounce the aggression?,No punishment,2,16
2011,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Be afraid of the aggressor,68,919
2011,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Others,3,40
2011,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Worry about raising children,23,310
2011,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Depending on financially on the aggressor,22,297
2011,General perception of violence against women,What does it lead a woman not to denounce the aggression?,No punishment,18,243
2011,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Be ashamed of aggression,18,243
2011,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Do not know your rights,12,162
2011,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Believe it would be the last time,11,148
2013,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Be afraid of the aggressor,74,923
2013,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Depending on financially on the aggressor,34,424
2013,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Worry about raising children,34,424
2013,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Be ashamed of aggression,26,324
2013,General perception of violence against women,What does it lead a woman not to denounce the aggression?,No punishment,23,287
2013,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Believe it would be the last time,22,274
2013,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Others,2,24
2013,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Do not know your rights,19,237
2015,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Be afraid of the aggressor,74,815
2015,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Depending on financially on the aggressor,36,396
2015,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Worry about raising children,34,374
2015,General perception of violence against women,What does it lead a woman not to denounce the aggression?,No punishment,30,330
2015,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Be ashamed of aggression,30,330
2015,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Believe it would be the last time,21,231
2015,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Others,2,22
2015,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Do not know your rights,19,209
2017,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Be afraid of the aggressor,71,792
2017,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Worry about raising children,32,357
2017,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Depending on financially on the aggressor,29,323
2017,General perception of violence against women,What does it lead a woman not to denounce the aggression?,No punishment,25,279
2017,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Be ashamed of aggression,20,223
2017,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Believe it would be the last time,17,189
2017,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Do not know your rights,15,167
2017,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Others,2,22
2019,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Be afraid of the aggressor,68,1632
2019,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Depending on financially on the aggressor,27,648
2019,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Worry about raising children,25,600
2019,General perception of violence against women,What does it lead a woman not to denounce the aggression?,No punishment,22,528
2019,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Be ashamed of aggression,17,408
2019,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Believe it would be the last time,16,384
2019,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Do not know your rights,13,312
2019,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Others,4,96
2021,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Be afraid of the aggressor,76,2280
2021,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Depending on financially on the aggressor,46,1380
2021,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Worry about raising children,44,1320
2021,General perception of violence against women,What does it lead a woman not to denounce the aggression?,No punishment,37,1110
2021,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Believe it would be the last time,36,1080
2021,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Be ashamed of aggression,35,1050
2021,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Do not know your rights,29,869
2021,General perception of violence against women,What does it lead a woman not to denounce the aggression?,Others,1,30
2011,General perception of violence against women,Where do you think women are less respected?,In the street,38,513
2011,General perception of violence against women,Where do you think women are less respected?,In the family,36,486
2011,General perception of violence against women,Where do you think women are less respected?,At work,21,283
2011,General perception of violence against women,Where do you think women are less respected?,Others,1,13
2011,General perception of violence against women,Where do you think women are less respected?,NS/NR,4,54
2013,General perception of violence against women,Where do you think women are less respected?,In the street,45,561
2013,General perception of violence against women,Where do you think women are less respected?,In the family,31,386
2013,General perception of violence against women,Where do you think women are less respected?,At work,22,274
2013,General perception of violence against women,Where do you think women are less respected?,Others,1,12
2013,General perception of violence against women,Where do you think women are less respected?,NS/NR,2,24
2015,General perception of violence against women,Where do you think women are less respected?,In the street,57,628
2015,General perception of violence against women,Where do you think women are less respected?,In the family,23,253
2015,General perception of violence against women,Where do you think women are less respected?,At work,18,198
2015,General perception of violence against women,Where do you think women are less respected?,Others,1,11
2015,General perception of violence against women,Where do you think women are less respected?,NS/NR,1,11
2017,General perception of violence against women,Where do you think women are less respected?,In the street,54,602
2017,General perception of violence against women,Where do you think women are less respected?,In the family,27,301
2017,General perception of violence against women,Where do you think women are less respected?,At work,16,178
2017,General perception of violence against women,Where do you think women are less respected?,NS/NR,4,44
2019,General perception of violence against women,Where do you think women are less respected?,In the street,48,1152
2019,General perception of violence against women,Where do you think women are less respected?,In the family,31,744
2019,General perception of violence against women,Where do you think women are less respected?,At work,16,384
2019,General perception of violence against women,Where do you think women are less respected?,Others,2,48
2019,General perception of violence against women,Where do you think women are less respected?,Are not disrespected,1,24
2019,General perception of violence against women,Where do you think women are less respected?,NS/NR,3,72
2021,General perception of violence against women,Where do you think women are less respected?,In the street,47,1410
2021,General perception of violence against women,Where do you think women are less respected?,In the family,29,869
2021,General perception of violence against women,Where do you think women are less respected?,At work,17,510
2021,General perception of violence against women,Where do you think women are less respected?,NS/NR,3,90
2021,General perception of violence against women,Where do you think women are less respected?,Are not disrespected,2,60
2021,General perception of violence against women,Where do you think women are less respected?,Others,2,60
2023,General perception of violence against women,Where do you think women are less respected?,In the street,52,11329
2023,General perception of violence against women,Where do you think women are less respected?,At work,25,5446
2023,General perception of violence against women,Where do you think women are less respected?,In the family,17,3703
2023,General perception of violence against women,Where do you think women are less respected?,Are not disrespected,1,217
2023,General perception of violence against women,Where do you think women are less respected?,Others,2,435
2023,General perception of violence against women,Where do you think women are less respected?,NS/NR,3,653
2017,General perception of violence against women,"For the past six months, have you heard more about domestic and family violence against women?",Yes,89,993
2017,General perception of violence against women,"For the past six months, have you heard more about domestic and family violence against women?",No,11,122
2017,General perception of violence against women,"For the past six months, have you heard more about domestic and family violence against women?",NS/NR,0,0
2017,General perception of violence against women,"And you think domestic and family violence against women has increased, because:",Has the amount of assaulted women increased?,92,1026
2017,General perception of violence against women,"And you think domestic and family violence against women has increased, because:",Did the severity of injuries in assaulted women increase?,90,1004
2017,General perception of violence against women,"And you think domestic and family violence against women has increased, because:",Did the severity of injuries in assaulted women increase?,9,100
2017,General perception of violence against women,"And you think domestic and family violence against women has increased, because:",Has the amount of assaulted women increased?,7,78
2017,General perception of violence against women,"And you think domestic and family violence against women has increased, because:",Has the amount of assaulted women increased?,1,11
2017,General perception of violence against women,"And you think domestic and family violence against women has increased, because:",Did the severity of injuries in assaulted women increase?,1,11
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,The lack of punishment,61,13290
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,The lack of punishment,22,4793
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,The lack of punishment,9,1960
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,The lack of punishment,6,1307
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,The lack of punishment,2,435
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,Depending on financially on the aggressor,61,13290
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,Depending on financially on the aggressor,23,5011
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,Depending on financially on the aggressor,8,1742
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,Depending on financially on the aggressor,7,1525
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,Depending on financially on the aggressor,2,435
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,Do not know your rights,48,10457
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,Do not know your rights,27,5882
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,Do not know your rights,14,3050
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,Do not know your rights,9,1960
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,Do not know your rights,2,435
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,Be afraid of the aggressor,73,15904
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,Be afraid of the aggressor,15,3268
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,Be afraid of the aggressor,5,1089
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,Be afraid of the aggressor,6,1307
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,Be afraid of the aggressor,1,217
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,Worry about raising children,60,13072
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,Worry about raising children,23,5011
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,Worry about raising children,9,1960
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,Worry about raising children,7,1525
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,Worry about raising children,2,435
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,Be ashamed of aggression,56,12200
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,Be ashamed of aggression,26,5664
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,Be ashamed of aggression,10,2178
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,Be ashamed of aggression,6,1307
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,Be ashamed of aggression,1,217
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,Believe it would be the last time,58,12636
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,Believe it would be the last time,23,5011
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,Believe it would be the last time,11,2396
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,Believe it would be the last time,7,1525
2023,General perception of violence against women,How often do the situations below lead a woman not to report aggression?,Believe it would be the last time,2,435
2005,Knowledge and effectiveness of laws (recognition of actions/laws),Do Brazilian law protect women from abuse and domestic violence?,Yes,26,211
2005,Knowledge and effectiveness of laws (recognition of actions/laws),Do Brazilian law protect women from abuse and domestic violence?,Partly,28,228
2005,Knowledge and effectiveness of laws (recognition of actions/laws),Do Brazilian law protect women from abuse and domestic violence?,No,45,366
2005,Knowledge and effectiveness of laws (recognition of actions/laws),Do Brazilian law protect women from abuse and domestic violence?,NS/NR,1,8
2007,Knowledge and effectiveness of laws (recognition of actions/laws),Do Brazilian law protect women from abuse and domestic violence?,Yes,13,103
2007,Knowledge and effectiveness of laws (recognition of actions/laws),Do Brazilian law protect women from abuse and domestic violence?,Partly,41,326
2007,Knowledge and effectiveness of laws (recognition of actions/laws),Do Brazilian law protect women from abuse and domestic violence?,No,45,358
2007,Knowledge and effectiveness of laws (recognition of actions/laws),Do Brazilian law protect women from abuse and domestic violence?,NS/NR,1,7
2009,Knowledge and effectiveness of laws (recognition of actions/laws),Do Brazilian law protect women from abuse and domestic violence?,Yes,18,148
2009,Knowledge and effectiveness of laws (recognition of actions/laws),Do Brazilian law protect women from abuse and domestic violence?,Partly,48,396
2009,Knowledge and effectiveness of laws (recognition of actions/laws),Do Brazilian law protect women from abuse and domestic violence?,No,33,272
2009,Knowledge and effectiveness of laws (recognition of actions/laws),Do Brazilian law protect women from abuse and domestic violence?,NS/NR,1,8
2011,Knowledge and effectiveness of laws (recognition of actions/laws),Do Brazilian law protect women from abuse and domestic violence?,Yes,19,256
2011,Knowledge and effectiveness of laws (recognition of actions/laws),Do Brazilian law protect women from abuse and domestic violence?,Partly,48,648
2011,Knowledge and effectiveness of laws (recognition of actions/laws),Do Brazilian law protect women from abuse and domestic violence?,No,31,419
2011,Knowledge and effectiveness of laws (recognition of actions/laws),Do Brazilian law protect women from abuse and domestic violence?,NS/NR,1,13
2013,Knowledge and effectiveness of laws (recognition of actions/laws),Do Brazilian law protect women from abuse and domestic violence?,Yes,20,249
2013,Knowledge and effectiveness of laws (recognition of actions/laws),Do Brazilian law protect women from abuse and domestic violence?,Partly,49,611
2013,Knowledge and effectiveness of laws (recognition of actions/laws),Do Brazilian law protect women from abuse and domestic violence?,No,30,374
2013,Knowledge and effectiveness of laws (recognition of actions/laws),Do Brazilian law protect women from abuse and domestic violence?,NS/NR,1,12
2015,Knowledge and effectiveness of laws (recognition of actions/laws),Do Brazilian law protect women from abuse and domestic violence?,Yes,14,154
2015,Knowledge and effectiveness of laws (recognition of actions/laws),Do Brazilian law protect women from abuse and domestic violence?,Partly,52,573
2015,Knowledge and effectiveness of laws (recognition of actions/laws),Do Brazilian law protect women from abuse and domestic violence?,No,33,363
2015,Knowledge and effectiveness of laws (recognition of actions/laws),Do Brazilian law protect women from abuse and domestic violence?,NS/NR,1,11
2005,Knowledge and effectiveness of laws (recognition of actions/laws),You consider that the creation of specific legislation to protect women is:,Very important,72,586
2005,Knowledge and effectiveness of laws (recognition of actions/laws),You consider that the creation of specific legislation to protect women is:,Important,23,187
2005,Knowledge and effectiveness of laws (recognition of actions/laws),You consider that the creation of specific legislation to protect women is:,Indifferent,2,16
2005,Knowledge and effectiveness of laws (recognition of actions/laws),You consider that the creation of specific legislation to protect women is:,Unimportant,1,8
2005,Knowledge and effectiveness of laws (recognition of actions/laws),You consider that the creation of specific legislation to protect women is:,Unimportant,2,16
2005,Knowledge and effectiveness of laws (recognition of actions/laws),You consider that the creation of specific legislation to protect women is:,NS/NR,0,0
2005,Knowledge and effectiveness of laws (recognition of actions/laws),"Last year, the Senate approved a law that establishes the prison sentence for those who practice violence against women in the home environment. In your opinion this law is:",Very important,72,586
2005,Knowledge and effectiveness of laws (recognition of actions/laws),"Last year, the Senate approved a law that establishes the prison sentence for those who practice violence against women in the home environment. In your opinion this law is:",Important,25,203
2005,Knowledge and effectiveness of laws (recognition of actions/laws),"Last year, the Senate approved a law that establishes the prison sentence for those who practice violence against women in the home environment. In your opinion this law is:",Indifferent,1,8
2005,Knowledge and effectiveness of laws (recognition of actions/laws),"Last year, the Senate approved a law that establishes the prison sentence for those who practice violence against women in the home environment. In your opinion this law is:",Unimportant,1,8
2005,Knowledge and effectiveness of laws (recognition of actions/laws),"Last year, the Senate approved a law that establishes the prison sentence for those who practice violence against women in the home environment. In your opinion this law is:",Unimportant,0,0
2005,Knowledge and effectiveness of laws (recognition of actions/laws),"Last year, the Senate approved a law that establishes the prison sentence for those who practice violence against women in the home environment. In your opinion this law is:",NS/NR,1,8
2005,Knowledge and effectiveness of laws (recognition of actions/laws),What is the degree of importance of this discussion in the Federal Senate?,Very important,65,529
2005,Knowledge and effectiveness of laws (recognition of actions/laws),What is the degree of importance of this discussion in the Federal Senate?,Important,27,220
2005,Knowledge and effectiveness of laws (recognition of actions/laws),What is the degree of importance of this discussion in the Federal Senate?,Indifferent,2,16
2005,Knowledge and effectiveness of laws (recognition of actions/laws),What is the degree of importance of this discussion in the Federal Senate?,Unimportant,4,32
2005,Knowledge and effectiveness of laws (recognition of actions/laws),What is the degree of importance of this discussion in the Federal Senate?,Unimportant,1,8
2005,Knowledge and effectiveness of laws (recognition of actions/laws),What is the degree of importance of this discussion in the Federal Senate?,NS/NR,1,8
2007,Knowledge and effectiveness of laws (recognition of actions/laws),Did you know that domestic violence is a crime and that there is a law that establishes a prison sentence from three months to three years to the aggressor?,Yes,85,677
2007,Knowledge and effectiveness of laws (recognition of actions/laws),Did you know that domestic violence is a crime and that there is a law that establishes a prison sentence from three months to three years to the aggressor?,No,15,119
2007,Knowledge and effectiveness of laws (recognition of actions/laws),Did you know that domestic violence is a crime and that there is a law that establishes a prison sentence from three months to three years to the aggressor?,NS/NR,0,0
2007,Knowledge and effectiveness of laws (recognition of actions/laws),Do you remember to have seen or heard any media campaign against violence to women?,Yes,60,478
2007,Knowledge and effectiveness of laws (recognition of actions/laws),Do you remember to have seen or heard any media campaign against violence to women?,No,40,318
2007,Knowledge and effectiveness of laws (recognition of actions/laws),Do you remember to have seen or heard any media campaign against violence to women?,NS/NR,0,0
2009,Knowledge and effectiveness of laws (recognition of actions/laws),Do you remember to have seen or heard any media campaign against violence to women?,Yes,66,545
2009,Knowledge and effectiveness of laws (recognition of actions/laws),Do you remember to have seen or heard any media campaign against violence to women?,No,33,272
2009,Knowledge and effectiveness of laws (recognition of actions/laws),Do you remember to have seen or heard any media campaign against violence to women?,NS/NR,1,8
2009,Knowledge and effectiveness of laws (recognition of actions/laws),Have you heard of the Maria da Penha Law?,Yes,83,686
2009,Knowledge and effectiveness of laws (recognition of actions/laws),Have you heard of the Maria da Penha Law?,No,17,140
2009,Knowledge and effectiveness of laws (recognition of actions/laws),Have you heard of the Maria da Penha Law?,NS/NR,0,0
2011,Knowledge and effectiveness of laws (recognition of actions/laws),Have you heard of the Maria da Penha Law?,Yes,98,1324
2011,Knowledge and effectiveness of laws (recognition of actions/laws),Have you heard of the Maria da Penha Law?,No,2,27
2011,Knowledge and effectiveness of laws (recognition of actions/laws),Have you heard of the Maria da Penha Law?,NS/NR,0,0
2013,Knowledge and effectiveness of laws (recognition of actions/laws),Have you heard of the Maria da Penha Law?,Yes,99,1235
2013,Knowledge and effectiveness of laws (recognition of actions/laws),Have you heard of the Maria da Penha Law?,No,1,12
2013,Knowledge and effectiveness of laws (recognition of actions/laws),Have you heard of the Maria da Penha Law?,NS/NR,0,0
2015,Knowledge and effectiveness of laws (recognition of actions/laws),Have you heard of the Maria da Penha Law?,Yes,100,1102
2015,Knowledge and effectiveness of laws (recognition of actions/laws),Have you heard of the Maria da Penha Law?,No,0,0
2015,Knowledge and effectiveness of laws (recognition of actions/laws),Have you heard of the Maria da Penha Law?,NS/NR,0,0
2017,Knowledge and effectiveness of laws (recognition of actions/laws),Have you heard of the Maria da Penha Law?,Yes,100,1116
2017,Knowledge and effectiveness of laws (recognition of actions/laws),Have you heard of the Maria da Penha Law?,NS/NR,0,0
2009,Knowledge and effectiveness of laws (recognition of actions/laws),"According to the Maria da Penha Law, in some cases, after denouncing the aggression, the woman can no longer withdraw the complaint at the police station. For you, does this rule make the woman stop reporting the aggressor?",Yes,62,512
2009,Knowledge and effectiveness of laws (recognition of actions/laws),"According to the Maria da Penha Law, in some cases, after denouncing the aggression, the woman can no longer withdraw the complaint at the police station. For you, does this rule make the woman stop reporting the aggressor?",No,35,289
2009,Knowledge and effectiveness of laws (recognition of actions/laws),"According to the Maria da Penha Law, in some cases, after denouncing the aggression, the woman can no longer withdraw the complaint at the police station. For you, does this rule make the woman stop reporting the aggressor?",NS/NR,2,16
2011,Knowledge and effectiveness of laws (recognition of actions/laws),"According to the Maria da Penha Law, in some cases, after denouncing the aggression, the woman can no longer withdraw the complaint at the police station. For you, does this rule make the woman stop reporting the aggressor?",Yes,64,865
2011,Knowledge and effectiveness of laws (recognition of actions/laws),"According to the Maria da Penha Law, in some cases, after denouncing the aggression, the woman can no longer withdraw the complaint at the police station. For you, does this rule make the woman stop reporting the aggressor?",No,33,446
2011,Knowledge and effectiveness of laws (recognition of actions/laws),"According to the Maria da Penha Law, in some cases, after denouncing the aggression, the woman can no longer withdraw the complaint at the police station. For you, does this rule make the woman stop reporting the aggressor?",NS/NR,3,40
2013,Knowledge and effectiveness of laws (recognition of actions/laws),"According to the Maria da Penha Law, in some cases, after denouncing the aggression, the woman can no longer withdraw the complaint at the police station. For you, does this rule make the woman stop reporting the aggressor?",Yes,63,786
